Date,Price,Open,High,Low,Vol.,Change %
1-Mar-98,320.25,327.5,341.5,318,83.09K,-2.21%
27-Feb-98,327.5,320.25,330,319,10.80K,1.87%
26-Feb-98,321.5,318.25,324.75,318.25,13.57K,0.86%
25-Feb-98,318.75,321,321.25,317.5,10.50K,-0.55%
24-Feb-98,320.5,326,327,318.5,15.94K,-1.69%
23-Feb-98,326,323.25,327.5,323.25,10.88K,0.85%
20-Feb-98,323.25,322.5,325,320.5,10.89K,0.23%
19-Feb-98,322.5,323,325,316,18.77K,0.16%
18-Feb-98,322,322,324,321,7.79K,-0.08%
17-Feb-98,322.25,328,328.5,321,15.16K,-2.20%
13-Feb-98,329.5,333,333,329,6.41K,-1.20%
12-Feb-98,333.5,332.5,334.5,330,9.89K,0.30%
11-Feb-98,332.5,338.5,338.5,330,17.93K,-1.63%
10-Feb-98,338,337.5,339.25,336,6.25K,0.22%
9-Feb-98,337.25,334,338.5,333.5,10.68K,0.97%
6-Feb-98,334,338,338.5,333,11.31K,-1.40%
5-Feb-98,338.75,341.5,343.25,338.5,10.59K,-0.88%
4-Feb-98,341.75,344,345.5,341,7.80K,-0.73%
3-Feb-98,344.25,344,347,341,12.38K,0.22%
2-Feb-98,343.5,337.75,344,335,11.89K,4.89%
1-Feb-98,327.5,337.75,347,316,219.41K,-2.89%
30-Jan-98,337.25,338.75,340,336,8.88K,-0.44%
29-Jan-98,338.75,340.75,342.5,338.25,8.53K,-0.73%
28-Jan-98,341.25,340.25,344,339.5,9.58K,0.00%
27-Jan-98,341.25,341.5,348,339.5,22.47K,-0.15%
26-Jan-98,341.75,334.5,343,333.5,13.86K,2.24%
23-Jan-98,334.25,331.25,337.5,331,11.97K,0.98%
22-Jan-98,331,330,332,328,7.18K,0.30%
21-Jan-98,330,331,333,329.25,7.06K,-0.60%
20-Jan-98,332,335.5,336,329.5,7.96K,-0.67%
16-Jan-98,334.25,333.75,337.5,332,8.91K,0.15%
15-Jan-98,333.75,329.25,334.5,325,14.17K,1.29%
14-Jan-98,329.5,334,337.5,328,15.03K,-1.35%
13-Jan-98,334,321.75,341.75,321.75,32.25K,3.81%
12-Jan-98,321.75,321,324,319.25,10.14K,0.23%
9-Jan-98,321,320.5,322.5,319.5,11.58K,0.16%
8-Jan-98,320.5,329.5,329.5,320,13.25K,-2.58%
7-Jan-98,329,324.75,329.5,322.5,10.21K,1.39%
6-Jan-98,324.5,331,331.5,324,11.24K,-1.96%
5-Jan-98,331,330.75,334,327,8.02K,0.08%
2-Jan-98,330.75,327,331.5,325,8.16K,-1.93%
1-Jan-98,337.25,327,348,319.25,240.44K,3.53%
31-Dec-97,325.75,327.75,329.5,325.5,5.29K,-0.61%
30-Dec-97,327.75,333.75,333.75,327.5,10.55K,-1.80%
