caldt,vwretd,vwretx,ewretd,ewretx,totval,spindx,sprtrn
19261021,0.017210,0.017147,0.017389,0.017229,16202820.80,,
19261022,-0.005123,-0.005151,-0.002539,-0.002744,16176767.80,,
19261023,0.004855,0.004855,0.006607,0.006607,16197618.70,,
19261025,-0.000297,-0.000297,-0.000727,-0.000727,16192810.00,,
19261026,0.002688,0.002688,0.003036,0.003036,16236343.20,,
19261027,0.012247,0.012247,0.010897,0.010897,16435184.00,,
19261028,-0.001960,-0.002074,-0.001870,-0.002042,16401096.40,,
19261029,-0.000714,-0.001381,0.000508,-0.000278,16389815.40,,
19261030,-0.002630,-0.002630,-0.001523,-0.001523,16275309.30,,
19261101,0.005396,0.004857,0.003847,0.003660,16425506.60,,
19261103,0.002668,0.002668,0.002423,0.002423,16469325.80,,
19261104,0.007209,0.007209,0.006214,0.006214,16588053.00,,
19261105,-0.000305,-0.000437,0.000646,0.000477,16580812.10,,
19261106,0.001715,0.001715,0.002740,0.002740,16609244.90,,
19261108,0.006382,0.006382,0.005861,0.005861,16715251.20,,
19261109,-0.000064,-0.000064,0.001228,0.001228,16714173.60,,
19261110,-0.007294,-0.008012,-0.005157,-0.005619,16580257.20,,
19261111,0.007018,0.007018,0.006630,0.006630,16696622.00,,
19261112,0.002837,0.002837,0.002147,0.002147,16743992.80,,
19261113,-0.003800,-0.003800,-0.001863,-0.001863,16680368.20,,
19261115,0.004012,0.003177,0.003737,0.003253,16863504.40,,
19261116,0.002936,0.002911,0.003073,0.003026,16912592.40,,
19261117,-0.003963,-0.003963,-0.003691,-0.003691,16845560.90,,
19261118,-0.005428,-0.005606,-0.004109,-0.004440,16809383.80,,
19261119,-0.007979,-0.010963,-0.003852,-0.004315,16567476.60,,
19261120,0.003662,0.003662,0.005032,0.005032,16628144.40,,
19261122,0.005843,0.005843,0.004778,0.004778,16673000.80,,
19261123,0.004405,0.004405,0.003546,0.003546,16857459.60,,
19261124,0.000397,0.000397,0.001413,0.001413,16870933.80,,
19261126,0.003156,0.002362,0.003488,0.003213,16940331.80,,
19261127,-0.001429,-0.001429,-0.002219,-0.002219,16916117.10,,
19261129,-0.003417,-0.003417,-0.003687,-0.003687,16858322.60,,
19261130,0.003114,0.001953,0.003613,0.002937,16907546.60,,
19261201,0.002556,0.001625,0.002951,0.002112,16994146.90,,
19261202,0.004838,0.004838,0.004315,0.004315,17016954.50,,
19261203,0.002793,0.001962,0.002165,0.001465,17050356.90,,
19261204,-0.001293,-0.001293,-0.001505,-0.001505,17028312.90,,
19261206,0.000897,0.000897,0.001745,0.001745,17043584.00,,
19261207,-0.001264,-0.001279,-0.000314,-0.000425,17021783.30,,
19261208,-0.001366,-0.001501,-0.000539,-0.000687,17054926.40,,
19261209,0.004796,0.004710,0.006482,0.006265,17076276.00,,
19261210,0.004124,0.003835,0.004388,0.004232,17141763.10,,
19261211,0.000898,0.000898,0.002280,0.002280,17157891.30,,
19261213,0.003377,0.003319,0.002835,0.002620,17200601.60,,
19261214,0.001213,0.001213,0.000297,0.000297,17293807.00,,
19261215,0.002131,0.001206,0.001438,0.000291,17256321.10,,
19261216,-0.005850,-0.005850,-0.007227,-0.007227,17155379.50,,
19261217,0.010797,0.010160,0.009073,0.008179,17329677.00,,
19261218,0.004671,0.004671,0.003167,0.003167,17410615.70,,
19261220,-0.002059,-0.002163,-0.001218,-0.001392,17350997.80,,
19261221,-0.000195,-0.000195,-0.001059,-0.001059,17179636.80,,
19261222,-0.000282,-0.000282,-0.000427,-0.000427,17367599.60,,
19261223,0.003182,0.003067,0.001858,0.001697,17420873.50,,
19261224,0.002512,0.002426,0.000088,-0.000029,17435812.80,,
19261227,-0.002874,-0.002925,-0.003601,-0.003744,17411931.10,,
19261228,-0.011453,-0.011453,-0.012288,-0.012288,17212514.80,,
19261229,0.004787,0.004787,0.005564,0.005564,17294903.50,,
